id,city,age,protectionorder,why1,killer1,killingway1,statusofkiller,year
754, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Ilac, Sorusturma Suruyor ,2014
755, Ankara , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2014
756, Ankara , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2014
758, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Yakilma, Tutuklu ,2014
760, Antalya , Resit ,   Yok ,Namus,Abisi,Kesici Alet, Tutuklu ,2014
761, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014
764, Antalya , Resit ,   Yok ,Kiskanclik,Sevgilisi,Darp, Tutuklu ,2014
766, Antalya , Resit ,   Yok ,KiskancliK,Tanidigi Birisi,Kesici Alet, Tutuklu ,2014
767, Antalya , Resit ,   Yok ,Reddedilme,Sevgilisi,Intihar, Tutuklu ,2014
769, Ardahan , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2014
770, Istanbul , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2014
771, Aydin , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Atesli Silah, Tutuklu ,2014
772, Balikesir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014
773, Balikesir , Resit ,   Yok ,Tespit Edilemeyen,Torunu,Kesici Alet, Tutuklu ,2014
774, Bolu , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Intihar ,2014
775, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Araniyor ,2014
777, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2014
779, Bursa , Resit ,   Yok ,Tartisma,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2014
780, Bursa , Resit ,   Yok ,Reddedilme ,Sevgilisi,Yakilma, Tutuklu ,2014
781, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2014
783, Corum , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2014
784, Corum , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2014
786, Denizli , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2014
787, Denizli , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2014
789, Denizli , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Intihar ,2014
790, Diyarbakir , Tespit Edilemeyen ,   Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor,2014
791, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2014
792, Duzce , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Tespit Edilemeyen, Intihar ,2014
795, Elazig , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Araniyor ,2014
796, Eskisehir , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Intihar ,2014
797, Eskisehir , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2014
798, Gaziantep , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2014
800, Gaziantep , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014
803, Gaziantep , Resit ,   Yok ,Kiz Kacirma,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2014
804, Gaziantep , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2014
808, Hatay , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014
810, Isparta , Resit ,   Yok ,Tartisma,Kardesi,Atesli Silah, Araniyor ,2014
811, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2014
813, Istanbul , Resit ,   Yok ,Nefret,Tespit Edilemeyen,Darp, Araniyor ,2014
814, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2014
817, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2014
818, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014
819, Istanbul , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2014
820, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2014
822, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Tecavuz, Tutuklu ,2014
823, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Tutuklu ,2014
825, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Kesici Alet, Tutuklu ,2014
826, Istanbul , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Sorusturma Suruyor ,2014
827, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2014
829, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2014
831, Istanbul , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Tutuklu ,2014
832, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Akrabasi,Tespit Edilemeyen, Tutuklu ,2014
833, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014
836, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2014
837, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Atesli Silah,Tespit Edilemeyen,2014
840, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Darp, Sorusturma Suruyor ,2014
842, Izmir , Resit ,   Yok ,Kiskanclik,Eski Kocasi,Atesli Silah, Tutuklu ,2014
849, Izmir , Resit ,   Yok ,Kiskanclik,Eski Sevgilisi,Atesli Silah, Tutuklu ,2014
852, Izmir , Resit Degil ,   Yok ,Para,Tanidigi Birisi,Bogulma, Tutuklu ,2014
854, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Zehir, Tutuklu ,2014
855, Izmir , Resit ,   Yok  ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2014
856, Izmir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2014
858, Izmir , Resit ,   Yok ,Tartisma,Torunu,Kesici Alet,Tespit Edilemeyen,2014
860, Kayseri , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2014
861, Kayseri , Resit ,   Yok ,Namus,Kocasi,Bogulma, Tutuklu ,2014
862, Kayseri , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Kesici Alet, Intihar ,2014
865, Kayseri , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Atesli Silah, Tutuklu ,2014
866, Edirne , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2014
