id,city,age,protectionorder,why1,killer1,killingway1,statusofkiller,year
1289,,,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2015
1310,,,   Yok ,Nefret,Tanidigi Birisi,Kesici Alet, Tutuklu,2015
1324, Adana , Resit ,   Yok ,Reddedilme,Eski Kocasi,Atesli Silah, Intihar ,2016
1325, Adana , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Kesici Alet, Tutuklu ,2016
1326, Adana , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Darp, Tutuklu ,2016
1328, Adiyaman , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2016
1329, Agri , Resit ,   Yok ,Reddedilme,Kocasi,Atesli Silah, Tutuklu ,2016
1334, Ankara , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016
1339, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Tutuklu ,2016
1342, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Bogulma, Tutuklu ,2016
1343, Antalya , Resit ,   Yok ,Gecimsizlik,Babasi,Atesli Silah, Tutuklu ,2016
1344, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2016
1345, Antalya , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2016
1346, Aydin , Resit ,   Yok ,Baska Bir Kadini Korurken,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2016
1347, Aydin , Resit ,   Yok ,Barisma Talebi,Sevgilisi,Atesli Silah, Intihar ,2016
1348, Balikesir , Resit ,   Yok ,Annesini Korurken,Babasi,Atesli Silah, Tutuklu ,2016
1349, Balikesir , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2016
1350, Bartin , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Kesici Alet, Tutuklu ,2016
1354, Bolu , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016
1356, Bursa , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2016
1358, Bursa , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016
1359, Canakkale , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2016
1360, Canakkale , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016
1361, Canakkale , Resit ,   Yok ,Tartisma,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2016
1363, Izmir , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Atesli Silah, Tutuklu ,2016
1364, Aydin , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2016
1365, Corlu , Tespit Edilemeyen,   Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor,2016
1366, Denizli , Resit ,   Var ,Tartisma,Kocasi,Bogulma, Tutuklu ,2016
1367, Denizli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Sorusturma Suruyor ,2016
1369, Diyarbakir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2016
1370, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2016
1372, Diyarbakir , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Araniyor ,2016
1375, Duzce , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2016
1376, Edirne , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Tespit Edilemeyen, Intihar ,2016
1379, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Ilac, Tespit Edilemeyen,2016
1380, Erzurum , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2016
1383, Gaziantep , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Darp, Tutuklu ,2016
1387, Gaziantep  , Resit ,   Yok ,Kizini Korurken,Damadi,Atesli Silah, Tutuklu ,2016
1388, Kocaeli , Resit ,   Yok ,Tartisma,Babasi,Atesli Silah, Tutuklu ,2016
1390, Kibris , Resit ,   Yok ,Kiskanclik,Kocasi,Yuksekten Dusme, Tutuklu ,2016
1392, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Tutuklu ,2016
1393, Hatay , Resit ,   Yok ,Namus,Amcasi,Atesli Silah, Tutuklu ,2016
1394, Hatay , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016
1395, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edlemeyen,Tespit Edilemeyen, Tutuklu ,2016
1396, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2016
1397, Igdir , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2016
1398, Igdir , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2016
1400, Isparta , Resit ,   Yok ,Tartisma,Kardesi,Atesli Silah, Tutuklu ,2016
1401, Isparta , Resit ,   Yok ,Tartisma,Eski Kocasi,Atesli Silah, Tutuklu ,2016
1402, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2016
1404, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016
1405, Istanbul , Resit ,   Yok ,Namus,Kocasi,Kesici Alet, Araniyor ,2016
1406, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2016
1408, Istanbul , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Intihar ,2016
1410, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016
1416, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2016
1421, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Darp, Tutuklu ,2016
1422, Istanbul , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016
1424, Istanbul , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2016
1425, Istanbul , Resit Degil ,   Yok ,Bosanma Talebi,Babasi,Atesli Silah, Intihar ,2016
1431, Izmir , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016
1432, Izmir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Intihar ,2016
1433, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Bogulma, Tutuklu ,2016
1436, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2016
1439, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Tutuklu ,2016
1440, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet,Tespit Edilemeyen,2016
1441, Kocaeli , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2016
1442, Kocaeli , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2016
1443, Kocaeli , Resit ,   Yok ,Bosanma,Eski Kocasi,Atesli Silah, Tutuklu ,2016
1444, Karaman , Resit ,   Yok ,Bosanma Talebi ,Kocasi,Kesici Alet, Tutuklu ,2016
1445, Karaman , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Tespit Edilemeyen, Tutuklu ,2016
1447, Kars , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2016
1448, Kars , Resit Degil ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen,Sorusturma Suruyor,2016
1452, Kirklareli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016
1454, Konya , Resit ,   Yok ,Tartisma,Eski Kocasi,Kesici Alet, Tutuklu ,2016
1456, Konya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2016
1462, Malatya , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2016
1464, Manisa , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Kesici Alet, Tutuklu ,2016
1466, Mardin , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Bogulma, Tutuklu ,2016
1467, Mersin , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016
1468, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Araniyor ,2016
1470, Mersin , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2016
1471, Mersin , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Atesli Silah, Intihar ,2016
1472, Mugla , Resit ,   Yok ,Tartisma,Sevgilisi,Darp, Tutuklu ,2016
1473, Mugla , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Intihar ,2016
1474, Ordu , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2016
1475, Ordu , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016
1476, Ordu , Resit ,   Yok ,Tartisma,Oglu,Bogulma, Tutuklu ,2016
1477, Osmaniye , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016
1478, Rize , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Kesici Alet, Tutuklu ,2016
1479, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016
1480, Samsun , Resit ,   Yok ,Tatisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2016
1481, Samsun , Resit ,   Yok ,Alzheimer Hastasi Oldugu Icin,Oglu,Darp, Sorusturma suruyor,2016
1483, Sivas , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2016
1484, Tekirdag , Resit ,   Yok ,Tartisma,Sevgilisi,Yuksekten Dusme, Tutuklu ,2016
1488, Tokat , Resit ,   Var,Reddedilme,Eski Kocasi,Atesli Silah, Araniyor ,2016
1489, Tokat , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016
1490, Tokat , Resit ,   Yok ,Reddedilme,Sevgilisi,Atesli Silah, Tutuklu ,2016
1491, Tokat , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2016
1493, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2016
1494, Trabzon , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2016
1496, Tunceli , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Tespit Edilemeyen,2016
1497, Tunceli , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2016
1499, Van , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Araniyor ,2016
1500, Yalova , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2016
1501, Yozgat , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Intihar ,2016
1503, Zonguldak , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2016
1606, Adana , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2017
1607, Adana , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2017
1608, Ankara , Resit ,   Yok ,Reddedilme,Kocasi,Kesici Alet, Tutuklu ,2017
1609, Ankara , Resit ,   Yok ,Kizini Korurken,Damadi,Atesli Silah, Araniyor ,2017
1610, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Darp, Tutuklu ,2017
1611, Adana , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017
1613, Balikesir , Resit Degil ,   Yok ,Maganda Kursunu,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2017
1614, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Tespit Edilemeyen,2017
1615, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017
1618, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017
1623, Nevsehir , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Kesici Alet, Tutuklu ,2017
1624, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2017
1625, Samsun , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017
1626, Samsun , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017
1629, Samsun , Resit ,   Yok ,Tartisma,Babasi,Atesli Silah, Tutuklu ,2017
1630, Samsun , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tutuklu ,2017
1646, Adana , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017
1647, Antalya , Resit ,   Yok ,Kiskanclik,Kocasi,Bogulma, Tutuklu ,2017
1649, Eskisehir , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Intihar ,2017
1650, Hatay , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2017
1657, Adana , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017
1658, Adana , Resit ,   Yok ,Kiz Kardesini Korurken,Enistesi,Atesli Silah, Tutuklu ,2017
1660, Diyarbakir , Resit ,   Var ,Bosanma Talebi ,Kocasi,Atesli Silah, Tutuklu ,2017
1661, Eskisehir , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017
1664, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Tutuklu ,2017
1665, Istanbul , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2017
1666, Kayseri , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017
1667, Manisa , Resit ,   Yok ,Kiskanclik,Kocasi,Darp, Tutuklu ,2017
1685, Adana , Resit ,   Yok  ,Tartisma,Torunu,Atesli Silah, Tutuklu ,2017
1691, Eskisehir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017
1693, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017
1696, Kayseri , Resit ,   Yok ,Reddedilme,Sevgilisi,Atesli Silah, Intihar ,2017
1701, Nigde , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2017
1714, Ankara , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Sorusturma Suruyor,2017
1716, Balikesir , Resit ,   Yok ,Aldatma,Kocasi,Kesici Alet, Tutuklu ,2017
1718, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Babasi,Atesli Silah, Tutuklu ,2017
1719, Bursa , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Kesici Alet, Tutuklu ,2017
1721, Istanbul , Resit ,   Yok ,Reddedilme ,Kocasi,Kesici Alet, Tutuklu ,2017
1722, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017
1723, Kayseri , Resit ,   Yok ,Kiskanclik,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017
1724, Manisa , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Atesli Silah, Intihar ,2017
1725, Nigde , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017
1727, Ukrayna , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2017
1728, Ukrayna , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2017
1748, Ankara , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2017
1750, Ankara , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Kesici Alet, Tutuklu ,2017
1752, Antalya , Resit ,   Yok ,Kendi Hayatina Karar Vermek istedigi Icin,Eski Kocasi,Kesici Alet, Tutuklu ,2017
1754, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma,Sorusturma Suruyor ,2017
1755, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma,Sorusturma Suruyor ,2017
1757, Kayseri , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017
1762, Nigde , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah,Tutuklu ,2017
1763, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Sorusturma Suruyor ,2017
1776, Adana , Resit ,   Yok ,Tartisma,Abisi,Kesici Alet, Tutuklu ,2017
1777, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017
1778, Balikesir , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017
1780, Bursa , Resit ,   Yok ,Reddedilme,Tanidigi Birisi,Atesli Silah, Intihar ,2017
1781, Diyarbakir , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017
1784, Istanbul , Resit ,   Yok ,Kiskanclik,Sevgilisi,Bogulma, Tutuklu ,2017
1785, Izmir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017
1786, Kayseri , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2017
1787, Samsun , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017
1806, Balikesir , Resit Degil ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2017
1807, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017
1810, Izmir , Resit ,   Yok ,Tartisma,Akrabasi,Atesli Silah, Intihar ,2017
1811, Kayseri , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2017
1813, Manisa , Resit ,   Yok ,Tartisma,Kocasi,Darp, Tutuklu ,2017
1814, Nigde , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017
1830, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2017
1833, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edlemeyen,Atesli Silah, Sorusturma Suruyor ,2017
1834, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2017
1836, Eskisehir , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Tespit Edilemeyen, Tutuklu ,2017
1838, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2017
1840, Hatay , Resit ,   Yok ,Reddedilme,Eski Kocasi,Atesli Silah,Tespit Edilemeyen,2017
1842, Hatay , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2017
1843, Hatay , Resit ,   Yok ,Reddedilme,Akrabasi,Atesli Silah, Tutuklu ,2017
1844, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Damadi,Atesli Silah, Tutuklu ,2017
1847, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2017
1848, Kayseri , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017
1849, Kayseri , Resit ,   Var ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2017
1851, Konya , Resit ,   Var ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017
1852, Konya , Resit ,   Yok ,Tartisma,Arkadasi,Kesici Alet, Tutuklu ,2017
1854, Manisa , Resit ,   Yok ,Hirsizlik,Tanimadigi Birisi,Darp, Tutuklu ,2017
1855, Manisa , Resit ,   Yok ,Tartisma,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2017
1856, Manisa , Resit ,   Yok ,Tespit Edilemeyen,Oglu,Darp, Tutuklu ,2017
1857, Manisa , Resit ,   Yok ,Reddedilme,Eski Kocasi,Atesli Silah, Araniyor ,2017
1871, Ankara , Resit ,   Yok ,Tartisma,Tespit Edilemeyen,Atesli Silah,Tespit Edilemeyen,2017
1873, Antalya , Resit Degil ,   Yok ,Tartisma,Babasi,Atesli Silah, Intihar ,2017
1874, Bartin , Resit ,   Yok ,Kiskanclik,Kocasi,Kesici Alet, Tutuklu ,2017
1875, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Kesici Alet, Tutuklu ,2017
1876, Hatay , Resit ,   Yok ,Tartisma,Kayinpederi,Atesli Silah, Tutuklu ,2017
1877, Hatay , Resit Degil ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Sorusturma Suruyor,2017
1882, Konya , Resit ,   Yok  ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2017
1885, Konya , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2017
1893, Istanbul , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2017
1902, Adana , Resit ,   Yok ,Eve Gec Gelmesi,Babasi,Atesli Silah, Tutuklu ,2017
1905, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2017
1908, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017
1909, Bursa , Resit ,   Yok ,Para,Tanidigi Birisi,Kesici Alet, Tutuklu ,2017
1910, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2017
1912, Istanbul , Resit ,   Yok ,Aldatilma Suphesi,Erkek Kardesi,Tespit Edilemeyen, Tutuklu ,2017
1913, Istanbul , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Tutuklu ,2017
1914, Izmir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2017
1915, Izmir , Resit ,   Yok ,Bakimsiz Olmasi,Kocasi,Darp, Tutuklu ,2017
1916, Izmir , Resit ,   Yok ,Kizini Korurken,Kizinin Eski Sevgilisi,Kesici Alet, Tutuklu ,2017
1917, Izmir , Resit ,   Yok ,Tartisma,Eski Sevgilisi,Atesli Silah, Intihar ,2017
1918, Izmir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017
1919, Izmir , Resit ,   Yok ,Tartisma,Eski Kocasi,Kesici Alet, Tutuklu ,2017
1921, Kayseri , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2017
1923, Kayseri , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2017
1924, Kayseri , Resit ,   Yok ,Alzheimer Hastasi Oldugu Icin,Kocasi,Bogulma, Tutuklu ,2017
1927, Sanliurfa , Resit ,   Yok ,Tartisma,Babasi,Bogulma, Tutuklu ,2017
1944, Igdir , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2017
1947, Sinop , Resit ,   Yok ,Kaza,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2017
1948, Sirnak , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2017
1954, Adana , Resit ,   Yok ,Tartisma,Eski Kocasi,Atesli Silah, Tutuklu ,2018
1955, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2018
1957, Adana , Resit ,   Yok ,Bosanma Talebi,Kocasi,Vurucu Alet, Tutuklu ,2018
1959, Adana , Resit ,   Yok ,Tartisma,Oglu,Darp, Tutuklu ,2018
1960, Adana , Resit Degil ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Darp,Sorusturma Suruyor,2018
1962, Adana , Resit  ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2018
1963, Adana , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2018
1964, Adana , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Iskence, Sorusturma Suruyor ,2018
1966, Afyonkarahisar , Resit Degil ,   Yok ,Tartisma,Abisi,Darp, Tutuklu ,2018
1969, Amasya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2018
1970, Ankara , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2018
1971, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Kesici Alet, Tutuklu ,2018
1972, Ankara , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Araniyor ,2018
1973, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Tutuklu ,2018
1974, Ankara , Resit ,   Yok ,Kadin hayatina dair bir karar vermek istedigi icin,Sevgilisi,Darp, Tutuklu ,2018
1975, Ankara , Resit ,   Var ,Tartisma,Kocasi,Atesli Silah, Intihar ,2018
1980, Antalya , Resit ,   Yok ,Para,Kocasi,Zehir, Intihar ,2018
1982, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2018
1986, Antalya , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Araniyor ,2018
